Date,Q2i,Q2mbr,P,DO,pH2i,COD2i,NH3-N2i,pHo,CODo,NH3-No,Tempo,pHMBR,CODMBR
2021/1/21,281,0,49,5.4,8,2466,121.3,7.7,516,3.1,32,7,485
2021/1/22,273,0,49,5.1,8,2201,165.8,7.7,502,2.9,32,7,491
2021/1/23,330,0,49,5.3,8,2315,148.2,7.7,494,2.4,32,7.1,503
2021/1/24,273,0,49,4.4,8,2512,158.2,7.7,514,2.2,32,7.3,492
2021/1/25,203,100,49,5,8,2682,163.1,7.7,489,2.1,32,7.4,512
2021/1/26,198,100,48.9,3,8.8,988,188,7.7,476,2.3,32,7.2,498
2021/1/27,173,100,48.9,5.3,8.8,1337,203.8,7.7,423,2.7,32,7.3,509
2021/1/28,301,100,48.9,6.1,8.7,1668,120.5,7.7,461,3.1,32,6.9,556
2021/1/29,263,100,48.9,5.2,8.7,1569,148.2,7.7,445,2.8,32,6.8,602
2021/1/30,313,100,49.2,4.6,8.6,1779,220,7.7,452,2.3,32,6.9,622
2021/1/31,227,100,49.2,5.7,8.5,2219,178.5,7.6,478,2.7,32,7.2,588
2021/2/1,245,126,41,5.2,8.5,2951,149.2,7.9,467,2.5,32,7.4,563
2021/2/2,290,139,29.9,4.5,8.5,2514,138.5,8,439,2.6,32,7.4,574
2021/2/3,216,160,30.6,4.9,8.5,2611,152.5,8,478,3.8,32,7.4,545
2021/2/4,116,123,40.4,4.3,8.5,3026,176.2,8,465,3.5,32,7.5,569
2021/2/5,159,77,38.5,2.7,8.6,3289,161.4,8,474,3.7,32,7.4,541
2021/2/6,283,2,22.4,2.5,8.6,2523,131.5,8,487,3.4,32,7.4,580
2021/2/7,256,70,43.7,4.5,8.5,1596,121.5,8,461,3.6,32,7.6,601
2021/2/8,135,0,52.8,4.2,8.5,1842,135.6,7.8,474,3.8,32,7.7,586
2021/2/9,169,45,52.5,3.4,8.5,1785,128.6,8.1,487,3.2,32,7.6,611
2021/2/10,82,0,55.3,3.2,8.5,2124,139.8,8.2,459,3.6,32,7.7,577
2021/2/11,168,0,56.8,1.5,8.5,2352,142.4,8.2,462,3.3,32,7.6,564
2021/2/12,60,0,56.7,1.3,8.6,2711,163.8,8.2,485.46,3.5,32,7.7,556
2021/2/13,152,0,60.3,2.1,8.6,2924,179.1,8.2,486.15,3.1,32,7.7,536
2021/2/14,156,30,58.7,0.4,8.5,2139,118.3,8.2,486.83,3.4,32,7.7,499
2021/2/15,198,0,59.6,4.9,8.4,1903,121.4,8.1,487.52,3.2,32,7.8,521
2021/2/16,305,0,58.8,4.7,8.4,2252,137.6,7.9,488.21,3.5,32,7.8,515
2021/2/17,294,0,57.3,3.5,8.4,1997,121.8,8.2,488.9,3.8,32,7.8,502
2021/2/18,259,49,58.7,2.2,8.4,2334,135.2,8.3,489.59,3.6,32,7.8,512
2021/2/19,165,127,61.4,2.8,8.4,2421,139.4,8.3,490.28,5.2,32,7.6,503
2021/2/20,130,62,63.3,1.5,8.5,2789,154.6,8.3,490.97,5,32,7.7,490
2021/2/21,120,46,63,2.8,8.5,2974,166.8,8.3,491.66,5.4,32,7.7,472
2021/2/22,182,80,59.4,6.3,8.4,2855,108.9,8.2,492.35,5.2,32,7.9,498
2021/2/23,120,94,55.9,4.8,8.4,3910,110.4,8.2,493,5.6,32,7.9,485
2021/2/24,58,29,51.4,5.4,8.4,3575,118.5,8.2,494,8.6,32,7.5,477
2021/2/25,0,0,53.6,4.3,8.4,3158,131.2,8.4,494,9.7,32,7.7,485
2021/2/26,20,0,54.1,3.7,8.4,2953,139.8,8.4,495,9.8,32,7.7,451
2021/2/27,0,0,49.4,2.8,8.4,2874,145.2,8.4,496,10.6,32,7.7,421
2021/2/28,0,0,49.4,5.1,8.5,3017,166.1,8.4,496,9.2,32,7.8,419
2021/3/1,0,0,49.4,0.9,8.5,3174,154.4,8.4,497,8.7,32,7.3,429
2021/3/2,0,0,49.4,4.2,8.4,2870,198.3,8.4,498,7.5,32,7.3,431
2021/3/3,20,0,49.4,3.5,8.3,2420,160.3,8.2,499,7.3,32,7.3,424
2021/3/4,18,0,49.4,4.2,8.3,2675,177.4,8.2,499,6.7,32,7.4,428
2021/3/5,0,0,49.3,5.9,8.3,2904,141.8,8.2,500,5.1,32,7.4,419
2021/3/6,0,0,49.3,5.9,8.3,2642,145.9,8.4,501,6.2,32,7.5,412
2021/3/7,0,0,49.3,5.5,8.3,3002,152.6,8.3,501,7.3,32,7.5,410
2021/3/8,51,0,49.2,5,8.2,1598,112.3,8.3,502,7.7,32,7.5,402
2021/3/9,0,0,49.2,4.1,8.2,2325,122.1,8.3,503,8,32,7.6,399
2021/3/10,0,0,49.1,5.3,8.2,1980,135.3,8.3,503,7.6,32,7.6,406
2021/3/11,0,0,49.1,3.9,8.2,2021,159.9,8.2,504,7.3,32,7.6,359
2021/3/12,46,0,49.2,0,8.3,2010,143.9,8.2,505,8.2,32,7.6,346
2021/3/13,0,0,49.1,5.1,8.3,2220,143.5,8.4,505,11.5,32,7.6,355
2021/3/14,0,0,49.1,3.6,8.3,2611,151.4,8.4,506,8.6,32,7.6,364
2021/3/15,0,0,49.1,3,8.3,2856,146.3,8.4,507,10.6,32,7.7,340
2021/3/16,0,0,49.1,3.8,8.3,2799,139.6,8.2,508,9.8,32,7.7,347
2021/3/17,12,0,49.1,3.3,8.2,1778,121.8,8.2,508,8.7,32,7.6,350
2021/3/18,11,0,49.1,3.3,8.2,1599,147.2,8.2,509,8.3,32,7.6,387
2021/3/19,0,0,49,5.1,8.2,1563,164.2,8.2,510,7.9,32,7.6,375
2021/3/20,0,0,49,5.2,8.2,1580,154.3,8.2,510,7.5,32,7.6,367
2021/3/21,0,0,49,5.3,8.2,1630,154.2,8.5,511,6.3,32,7.6,351
2021/3/22,0,0,49,5.9,8.2,1863,162.4,8.5,512,6,32,7.6,361
2021/3/23,0,0,49,4.9,8.2,1755,153.6,8.3,512,6,32,7.6,354
2021/3/24,0,0,48.9,5.2,8.2,2009,140,8.4,513,6.2,32,7.7,345
2021/3/25,0,14,48.9,5.5,8.3,2533,136,8.4,514,5.8,32,7.7,353
2021/3/26,44,0,48.9,6,8.2,1982,145,8.4,514.39,6.1,32,7.7,345
2021/3/27,0,0,48.9,6.3,8.2,1809,155,8.3,515.08,6.8,32,7.7,366
2021/3/28,0,0,49.2,5.6,8.2,1908,154,8.2,515.77,6.3,32,7.7,352
2021/3/29,0,0,49.2,5.2,8.3,2210,139,8,516.46,7.3,32,7,341
2021/3/30,0,0,41,5.3,8.2,2156,144,8.1,517.15,7.2,32,7.6,351
2021/3/31,0,0,29.9,4,8.2,1980,151,7.9,517.84,7.1,32,7.6,364
2021/4/1,0,0,30.6,5.5,8.2,2101,189.5,8.2,518.53,7.2,32,7.6,349
2021/4/2,57,0,40.4,6.8,8.2,1640,158.6,8.2,519.22,7.1,32,7.7,353
2021/4/3,0,0,38.5,6.8,8.1,1887,166.8,8.2,519.91,7.2,32,7.7,360
2021/4/4,0,0,22.4,7,8.1,1830,154.3,8.2,520.6,6.4,32,7.7,346
2021/4/5,0,0,43.7,7.3,8.1,1902,155.6,8.3,521.28,5.3,32,7.7,339
2021/4/6,0,137,52.8,6.2,8.2,2321,178.5,8.4,522,5.9,32,7.7,325
2021/4/7,0,139,52.5,4.5,8.2,2203,165.3,8.4,523,6.2,32,7.7,334
2021/4/8,0,0,55.3,3.3,8.1,1937,157.2,8.3,523,6.3,32,7.7,351
2021/4/9,0,78,56.8,3.7,8.1,2022,162.1,8.2,524,6.2,32,7.7,342
2021/4/10,29,0,56.7,4.3,8.1,1958,159.6,8.2,525,6.2,32,7.6,338
2021/4/11,0,47,60.3,6,8.1,2132,165.4,8.2,525,6.3,32,7.9,356
2021/4/12,91,108,58.7,2.9,8,2390,139.5,8.3,526,4.9,32,8,346
2021/4/13,0,240,59.6,4.1,8,1667,147.5,8.3,527,4.5,32,8,362
2021/4/14,0,155,58.8,1,8,1990,127.5,8.3,527,5.6,32,8,351
2021/4/15,26,120,57.3,2.8,8,2316,156.9,8.3,528,5.3,32,8,374
2021/4/16,0,158,58.7,2.9,8,2221,142.6,8.2,529,4.9,32,8,354
2021/4/17,0,167,61.4,4.8,8,2155,146.5,8.2,530,4.5,32,8,344
2021/4/18,0,0,63.3,1.3,8,2331,155.4,8.2,530,4.8,32,7.8,323
2021/4/19,37,16,63,2.9,8,1978,188.6,8.2,531,4.7,32,8.1,346
2021/4/20,0,0,59.4,2.6,8.1,2102,186.2,8.2,532,4.2,32,8.2,385
2021/4/21,0,0,55.9,1.9,8,2230,185.3,8,532,4.1,32,8.2,374
2021/4/22,0,0,51.4,1,8.1,2130,178.2,8,533,4.2,32,8.2,366
2021/4/23,0,0,53.6,2.8,8.1,1985,156.3,8,534,5.6,32,8.2,378
2021/4/24,50,0,54.1,3,8.1,2054,164.8,8.1,534,5.3,32,8.2,389
2021/4/25,0,0,49.2,3.5,8.1,2236,177.5,8,535,5.1,32,8.1,331
2021/4/26,176,0,41,2.9,8.1,6060,193.5,8,536,5.2,32,7.9,315
2021/4/27,127,0,29.9,4.1,8,5509,200.8,8,536,5.3,32,8.2,365
2021/4/28,128,49,30.6,4.2,7.9,4696,188.2,7.9,537,4.8,32,8.3,356
2021/4/29,224,0,40.4,3.1,8,1666,133.2,7.8,538,4.4,32,8.3,370
2021/4/30,91,17,38.5,3.8,8.1,2531,135.5,7.7,539,5.3,32,8.3,361
2021/5/1,180,0,22.4,3.8,8.1,3521,156.6,7.1,539,5.6,32,8.3,362
2021/5/2,130,93,43.7,4.7,8.2,2355,178.2,7.2,540,5.8,32,8.2,357
2021/5/3,121,87,52.8,6.2,8.1,3261,165.4,6.7,541,6,32,8.2,334
2021/5/4,128,79,52.5,6,8.1,3652,175.3,6.5,541,5.7,32,8.2,351
2021/5/5,111,88,55.3,5.3,8,5440,201.5,6.5,542,5.3,32,8.4,325
2021/5/6,107,0,56.8,4.3,8.2,1227,150.7,6.3,543,4.8,32,8.4,352
2021/5/7,82,0,56.7,5.9,8.1,3540,135.2,6.4,543.33,5.4,32,8.4,345
2021/5/8,150,93,60.3,3.8,8.1,3653,123.2,6.4,544.02,5.6,32,8.4,357
2021/5/9,146,0,58.7,4,8.1,4326,201.3,6.5,544.71,5.3,32,8.4,345
2021/5/10,133,59,59.6,5.9,8.1,2895,156.3,6.5,545.4,5.5,32,8.4,375.1
2021/5/11,84,67,58.8,4.4,8.1,3586,186.2,7.89,546.09,5.7,32,8.2,365
2021/5/12,57,74,57.3,4.6,8,3154,163.5,7.89,546.78,5.6,32,8.2,354
2021/5/13,0,0,58.7,4.7,8,2506,210.9,7.89,547.47,5.5,32,8.2,364
2021/5/14,40,57,61.4,3.1,8,3409,195.7,7.89,548.16,3.4,32,8.4,375
2021/5/15,0,75,63.3,4.6,8,3542,178.5,7.89,548.84,3.1,32,8.3,384
2021/5/16,0,0,63,5.4,8,3465,175.5,7.89,549.53,2.8,32,8.6,378
2021/5/17,0,0,59.4,5.1,8,2894,198.3,7.89,550.22,2.7,32,8.6,376
2021/5/18,65,65,55.9,5.3,8.2,3266,159.6,7.89,551,4.3,32,8.6,387
2021/5/19,0,108,51.4,4.4,8.1,3658,185.2,7.89,552,4.2,32,8.5,354
2021/5/20,0,0,53.6,5,8.1,3952,174.3,7.89,552,4.3,32,8.2,365
2021/5/21,63,0,54.1,3,8,2098,201.8,7.88,553,4.1,32,8.4,354
2021/5/22,42,0,49.4,5.3,8,2880,211.9,7.88,554,4.2,32,8.4,355
2021/5/23,0,134,49.4,6.1,8.1,2987,189.2,7.88,554,3.9,32,8.4,324
2021/5/24,0,0,49.4,5.2,8.1,3540,198.3,7.88,555,13.2,32,8.2,378
2021/5/25,64,81,49.4,4.6,8.1,2869,156.6,7.88,556,12.8,32,8.2,351
2021/5/26,0,0,49.4,5.7,8.1,2506,166.3,7.88,556,8.6,32,8.2,499
2021/5/27,57,116,49.4,5.2,8.1,3152,202.3,7.88,557,7.4,32,8.2,478
2021/5/28,64,104,49.3,4.5,8.1,3347,214.5,7.88,558,6.8,32,8.2,493
2021/5/29,89,97,49.3,4.9,8.1,2369,189.6,7.88,558,6.4,32,8.5,469
2021/5/30,34,114,49.3,4.3,8,2655,156.3,7.88,559,6.3,32,8.5,426
2021/5/31,95,147,49.2,2.7,8,3542,132.2,7.88,560,2.2,32,8.3,440
2021/6/1,232,254,49.2,2.5,8,3654,123.5,7.88,561,1.9,32,8.4,466
2021/6/2,152,249,49.1,4.5,8.1,3333,80.9,7.87,561,2.5,32,8.4,454
2021/6/3,242,200,49.1,4.2,8,2576,117.8,7.87,562,2.4,32,8.4,505
2021/6/4,239,181,49.2,3.4,8,3151,108.5,7.87,563,2.7,32,8.3,525
2021/6/5,198,157,49.1,3.2,8,3742,131.2,7.87,563,2.6,32,8.2,510
2021/6/6,147,172,49.1,1.5,8,2806,116.6,7.87,564,2.7,32,8,486
2021/6/7,40,84,49.1,1.3,8,3202,156.3,7.87,565,2.3,32,8.1,475
2021/6/8,242,96,49.1,2.1,8,3512,143.5,7.87,565,3.3,32,7.9,484
2021/6/9,120,226,49.1,0.4,8,3548,135.3,7.87,566,2.9,32,8.2,460
2021/6/10,61,0,49.1,4.9,8.2,2099,100.8,7.87,567,3.2,32,8.2,520
2021/6/11,90,0,49,4.7,8.2,2556,120.1,7.87,567,3.8,32,8.2,516
2021/6/12,154,0,49,3.5,8.2,2817,131.9,7.87,568,4.4,32,8.2,507
2021/6/13,39,0,49,2.2,8.2,3152,142.5,7.87,569,4.7,32,8.3,496
2021/6/14,0,25,49,2.8,8.2,2654,136.3,7.86,570,4.5,32,8.4,485
2021/6/15,0,0,49,1.5,8.2,2896,140.6,7.86,570,4.4,32,8.4,453
2021/6/16,103,0,48.9,2.8,8.1,3020,155.7,7.86,571,4.2,32,8.3,441
2021/6/17,28,0,48.9,6.3,8.1,3540,154.5,7.86,572,3.9,32,8.2,457
2021/6/18,0,0,48.9,4.8,8.1,3320,132.7,7.86,572.27,4.6,32,8.2,359
2021/6/19,0,0,48.9,5.4,8.1,3107,122.4,7.86,572.96,7.8,32,8.2,346
2021/6/20,0,0,49.2,4.3,8.1,2952,106.8,7.9,573.65,8.2,32,8.3,355
2021/6/21,57,0,49.2,3.7,8.1,3365,135.6,7.9,574.34,5.8,32,8.3,364
2021/6/22,0,0,41,2.8,8.2,2899,126.4,7.9,575.03,5.4,32,8.3,340
2021/6/23,89,42,29.9,5.1,8,3062,133.6,7.9,575.72,5.7,32,8.3,347
2021/6/24,147,49,30.6,0.9,8.1,1456,149.6,7.9,576.4,3.9,32,8.2,350
2021/6/25,124,18,40.4,4.2,8.1,3512,143.5,7.9,577.09,2.8,32,8.2,387
2021/6/26,80,25,38.5,3.5,8.2,2843,167.2,7.9,577.78,2.6,32,8.2,375
2021/6/27,109,195,22.4,4.2,8.2,1499,156.6,7.9,578.47,2.5,32,8.2,367
2021/6/28,126,149,49.6,5.9,8.2,3249,163.8,7.9,579.16,3.1,32,8.2,351
2021/6/29,134,180,49.6,5.9,8.2,3125,171.2,7.9,580,2.7,32,8,361
2021/6/30,215,271,49.6,5.5,8.2,2656,156.3,7.9,581,2.3,32,8,354
2021/7/1,81,301,49.6,5,8.1,2953,121.3,7.9,581,2.2,32,7.9,345
2021/7/2,77,167,49.6,4.1,8.1,3542,123.2,7.8,582,2.6,32,8.1,353
2021/7/3,155,108,49.6,5.3,8.1,3621,131.2,7.8,583,1.5,32,8,345
2021/7/4,265,189,49.5,4.3,8,1638,150.4,7.8,583,1.6,32,8,366
2021/7/5,0,218,49.6,5.3,8,1556,153.9,7.8,584,1.5,32,8,352
2021/7/6,0,102,49.6,4,8.1,2633,143.2,7.8,585,1.8,32,7.9,341
2021/7/7,0,95,49.6,2.7,8.1,3213,161.5,7.8,585,2.1,32,7.8,351
2021/7/8,30,130,49.6,4.3,8.1,2985,152.3,7.8,586,1.9,32,7.7,364
2021/7/9,0,143,49.6,0.2,8.1,3026,149.6,7.8,587,1.7,32,6.9,384
2021/7/10,0,62,49.6,3,8.1,3215,146.5,7.8,587,1.8,32,7,378
2021/7/11,14,159,49.6,4.4,8.1,1808,166.2,7.8,588,2.2,32,6.7,376
2021/7/12,50,101,49.6,2.9,8,1686,143.9,7.8,589,1.9,32,6.5,387
2021/7/13,87,0,49.6,4.5,8,2014,150.2,7.8,589,2.6,32,6.5,354
2021/7/14,71,84,49.6,3.3,8,2846,175.2,7.8,590,5.7,32,6.3,365
2021/7/15,145,263,49.6,3.8,8,2587,169.2,7.8,591,8.9,32,6.4,354
2021/7/16,89,255,49.6,1.6,8,2325,156.9,7.8,592,11.4,32,6.4,355
2021/7/17,56,175,49.6,6.5,8,2465,165.3,7.8,592,3.3,32,6.5,324
2021/7/18,58,239,49.6,5.8,8,2345,153.5,7.8,593,3.2,32,6.5,378
2021/7/19,58,189,49.6,6.2,8,2542,142.5,7.8,594,3.2,32,6.4,351
2021/7/20,40,42,49.6,4.3,8.1,1648,183.2,7.8,615,3.2,32,6.7,499
2021/7/21,20,231,49.6,3,8.1,2230,177.8,7.8,593,3.2,32,6.4,478
2021/7/22,99,100,49.6,6,8.1,2653,186.8,7.8,545,3.1,32,6.4,493
2021/7/23,49,187,49.6,6.7,8.1,2861,193.5,7.8,654,3.1,32,6.3,469
2021/7/24,224,212,49.6,6.5,8.1,3032,185.3,7.8,681,3.1,32,6.3,426
2021/7/25,46,103,49.6,7,8.1,2966,179.6,7.8,698,3,32,6.2,440
2021/7/26,100,155,49.6,5.7,8.1,2895,158.6,7.8,659,3,32,6.1,466
2021/7/27,108,34,49.6,6.8,8.1,2954,163.2,7.8,634,3,32,6.2,454
2021/7/28,130,134,49.6,6.6,8.1,1881,180.2,7.8,625,3,32,6.2,505
2021/7/29,60,241,49.6,7,8,2003,155,7.8,606,2.9,32,6.1,525
2021/7/30,113,0,49.6,7.4,8,2665,178.3,7.8,586,2.9,32,6.2,510
2021/7/31,114,63,49.6,7.7,8,2351,165.2,7.8,544,2.9,32,6.5,486
2021/8/1,98,0,49.6,8,8,2652,177.6,7.8,578,2.9,32,6.4,475
2021/8/2,112,128,49.6,7.9,8,3265,168.6,7.8,589,2.8,32,6.4,484
2021/8/3,118,108,49.5,7.5,8,3125,156.5,7.8,602,2.8,32,6.5,460
2021/8/4,104,0,49.5,7.7,8,3025,143.3,7.8,687,2.8,32,6.6,520
2021/8/5,100,167,49.5,7,8.7,1647.6,125.7,7.8,645,2.7,32,6.8,516
2021/8/6,85,244,49.5,4.6,8.5,2017,176.3,7.8,618,2.7,32,6.9,507
2021/8/7,118,231,49.5,7.3,8.3,2636,182.4,7.8,655,2.7,32,6.5,496
2021/8/8,129,69,49.5,7.5,8.2,3107,196.2,7.8,678,2.7,32,6.3,485
2021/8/9,120,137,49.5,7.6,8.1,2866,185.6,7.8,613,2.6,32,6.4,453
2021/8/10,62,99,49.5,7.4,8.2,3022,168.9,7.8,588,2.6,32,6.4,441
2021/8/11,54,0,49.5,7.7,8.1,2785,156.3,7.8,647,2.6,32,6.4,457
2021/8/12,83,98,49.5,7.6,8.1,3215,143.2,7.8,632,2.6,32,6.5,460
2021/8/13,57,137,49.5,7.4,8.34,1426,109.1,7.8,636,2.5,32,6.6,550
2021/8/14,114,0,49.5,7.8,8.55,2108,200.8,7.8,618,2.5,32,6.7,621
2021/8/15,23,104,49.5,5.7,8.3,3305,188.3,7.8,654,2.5,32,6.7,586
2021/8/16,121,99,49.6,7.2,8.2,2966,196.7,7.8,612,2.4,32,6.3,549
2021/8/17,134,219,49.5,7.3,8.1,2633,178.3,7.8,633,2.4,32,6.3,535
2021/8/18,70,82,49.5,6.3,8.1,2769,186.6,7.8,684,2.4,32,6.7,521
2021/8/19,111,101,49.5,3.8,8.1,2945,176.2,7.8,654,3.2,32,6.8,505
2021/8/20,152,163,49.5,4.9,8,1956,365,7.8,616,3,32,6.7,499
2021/8/21,53,228,49.5,3.3,8.7,2418.6,187.3,7.8,616,2.8,32,6.7,485
2021/8/22,63,0,49.5,6.4,8.6,1681.4,208,7.8,617,2.4,32,6.7,520
2021/8/23,48,154,49.5,4.7,8.6,2075,193.6,7.8,618,2.3,32,6.6,516
2021/8/24,53,163,49.5,3.1,8.3,2278,187.4,7.8,618,3.5,32,6.6,507
2021/8/25,79,42,49.5,6.2,8.1,2585,165.3,7.8,619,3.1,32,6.5,496
2021/8/26,79,30,49.5,5.5,8.2,2326,206.3,7.8,620,3.2,32,6.5,485
2021/8/27,83,187,49.5,3.6,8.1,2541,156.2,7.8,621,2.3,32,6.5,453
2021/8/28,62,138,49.5,4.9,8.1,2650,143.4,7.8,621,2.2,32,6.5,441
2021/8/29,66,167,49.5,4.4,8.7,1563.1,211,7.8,622,2,32,6.3,457
2021/8/30,15,75,49.5,3.7,8.4,2044,201.2,7.8,623,1.8,32,6.1,359
2021/8/31,130,177,49.4,5.3,8.3,2356,223.7,7.8,623,2.1,32,6.1,346
2021/9/1,94,138,49.4,5.9,8.7,2651,257.2,7.8,624,1.9,32,6.1,355
2021/9/2,105,237,49.4,3.1,8.5,1585,140,7.8,625,2.2,32,6.1,364
2021/9/3,125,9,49.5,5.5,8.4,1315,142,7.8,625,2.3,32,6.1,340
2021/9/4,98,184,49.5,4.3,8.6,1432,156.1,7.8,626,2.7,32,6.7,347
2021/9/5,38,120,49.5,6.1,8.3,1521,132.2,7.8,627,5.4,32,6.8,350
2021/9/6,79,0,49.4,5.5,8.5,1643,165.4,7.8,627,5.6,32,7,387
2021/9/7,0,115,49.4,2.5,8.13,1570.4,229,7.8,628,9.5,32,6.8,375
2021/9/8,0,234,49.4,5.3,8.2,1833,247,7.8,629,3.9,32,7,367
2021/9/9,35,103,49.5,4.4,8.3,2067,213,7.8,629,4.3,32,7,351
2021/9/10,4,84,49.4,5.7,8.3,1979,188,7.8,630.15,3.4,32,6.9,361
2021/9/11,31,85,49.4,2.2,8.1,1669,197,7.8,630.84,3.2,32,7,354
2021/9/12,65,87,49.4,3.1,8.4,1898,201,7.8,631.53,3.4,32,7,345
2021/9/13,93,87,49.5,4.6,8.3,1953,187,7.8,632.21,3.2,32,7,353
2021/9/14,69,184,49.4,3.2,8.4,1768,162.7,7.8,632.9,3.1,32,7.1,345
2021/9/15,0,60,49.4,0.6,8.5,1862,178.5,7.8,633.59,3.6,32,7.3,366
2021/9/16,86,139,49.4,6.3,8.3,2126,221.3,7.8,634.28,3.2,32,7.4,352
2021/9/17,98,115,49.4,6.9,8.2,2314,243.6,7.8,634.97,3.5,32,7.2,341
2021/9/18,96,92,49.4,7.2,8.4,2530,253.2,7.78,635.66,3.1,32,7.3,351
2021/9/19,42,37,49.4,7.5,8.3,2580,176.9,7.78,636.35,3.2,32,6.9,521
2021/9/20,55,44,49.4,7.5,8.3,2486,263.1,7.78,637.04,3.8,32,6.8,505
2021/9/21,97,101,49.4,6.3,8.4,2651,178.2,7.78,638,4.2,32,6.9,499
2021/9/22,49,257,49.4,6.3,8.5,1665,142,7.78,638,3.5,32,7.2,485
2021/9/23,56,105,49.4,5.7,8.4,1834,157.2,7.78,639,3.3,32,7.4,520
2021/9/24,69,47,49.4,5.8,8.6,2177,183.6,7.78,640,3,32,7.4,516
2021/9/25,98,190,49.3,5,8.3,2236,215.7,7.78,640,3.2,32,7.4,507
2021/9/26,84,72,49.4,5.4,8.1,1547,135,7.78,412,3.7,32,7.5,496
2021/9/27,58,33,49.4,6.1,8,1689,178.6,7.78,402,3.2,32,7.4,485
2021/9/28,144,266,49.4,4.5,8.2,1865,188.3,7.78,421,3.3,32,7.4,453
2021/9/29,92,195,49.4,6.6,8.3,1985,135.1,7.78,432,6.2,32,6.5,441
2021/9/30,55,117,49.4,7,8.2,1247,141.3,7.77,398,5.5,32,6.5,457
2021/10/1,81,141,49.4,6.3,8.7,1631.5,154.7,7.77,580,5.8,32,6.5,359
2021/10/2,37,168,49.4,7.1,8.5,1867,167.2,7.77,545,4.6,32,6.5,346
2021/10/3,74,80,49.4,8.3,8.2,2114,188.7,7.77,534,3.9,32,6.3,355
2021/10/4,84,135,49.4,7,8.6,1969,200.3,7.77,582,6.7,32,6.1,364
2021/10/5,59,83,49.4,7.8,8.5,1801,178,7.77,575,6.1,32,6.1,340
2021/10/6,74,60,49.4,5,8.3,2012,176.2,7.77,569,5.9,32,6.1,347
2021/10/7,25,152,49.4,7.2,8.6,2236,156.3,7.77,628,5.6,32,6.1,350
2021/10/8,214,0,49.4,8.1,8.2,1985,132.2,7.77,622,5.2,32,6.1,376
2021/10/9,105,202,49.4,6.8,8.5,2103,144.3,7.77,655,5.8,32,6.7,387
2021/10/10,73,236,49.4,6.2,8.3,2257,161.7,7.77,651,4.2,32,6.8,354
2021/10/11,51,275,49.4,6.7,8.1,1833,170.2,7.77,652,3.8,32,7,365
2021/10/12,86,270,49.3,6.3,8.4,2030,155,7.76,652,3.4,32,6.8,354
2021/10/13,0,0,49.3,6.3,8.3,1867,155.6571429,7.76,653,3.6,32,7,355
2021/10/14,0,0,49.3,5.2,8.3,2114,155.4321429,7.76,654,4.5,32,7,324
2021/10/15,0,0,49.2,6.5,8.3,1969,155.2071429,7.76,654,4.4,32,6.9,378
2021/10/16,0,0,49.2,6.7,8.3,1801,154.9821429,7.76,412,3.8,32,7,351
2021/10/17,0,0,49.1,6.7,8.3,2012,154.7571429,7.76,402,3.4,32,7,499
2021/10/18,0,0,49.1,4.8,8.3,2236,154.5321429,7.76,421,3.1,32,6.3,478
2021/10/19,0,0,49.2,3.8,8.3,1985,154.3071429,7.76,432,3.2,32,6.3,493
2021/10/20,0,0,49.1,4.9,8.3,2103,154.0821429,7.76,398,3.3,32,6.7,469
