,TempO
325,32
326,32
327,32
328,32
329,32
330,32
331,32
332,32
333,32
334,32
335,32
336,32
337,32
338,32
339,32
340,32
341,32
342,32
343,32
344,32
345,32
346,32
347,32
348,32
349,32
350,32
351,32
352,32
353,32
354,32
355,32
356,32
357,32
358,32
359,32
360,32
361,32
362,32
363,32
364,32
365,32
366,32
367,32
368,32
369,32
370,32
371,32
372,32
373,32
374,32
375,32
376,32
377,32
378,32
379,32
380,32
381,32
382,32
383,32
384,32
385,32
386,32
387,32
388,32
389,32
390,32
391,32
392,32
393,32
394,32
395,32
396,32
397,32
398,32
399,32
400,32
401,32
402,32
403,32
404,32
405,32
406,32
407,32
408,32
409,32
410,32
411,32
412,32
413,32
414,32
415,32
416,32
417,32
418,32
419,32
420,32
421,32
422,32
423,32
424,32
425,32
426,32
427,32
428,32
429,32
430,32
431,32
432,32
433,32
434,32
435,32
436,32
437,32
438,32
439,32
440,32
441,32
442,32
443,32
444,32
445,32
446,32
447,32
448,32
449,32
450,32
451,32
452,32
453,32
454,32
455,32
456,32
457,32
458,32
459,32
460,32
461,32
462,32
463,32
464,32
465,32
466,32
467,32
468,32
469,32
470,32
471,32
472,32
473,32
474,32
475,32
476,32
477,32
478,32
479,32
480,32
481,32
482,32
483,32
484,32
485,32
486,32
487,32
488,33
489,33
490,33
491,33
492,33
493,33
494,33
495,33
496,33
497,33
498,33
499,33
500,33
501,33
502,33
503,33
504,33
505,33
506,33
507,33
508,33
509,33
510,33
511,33
512,33
513,33
514,33
515,33
516,33
517,33
518,33
519,33
520,33
521,33
522,33
523,33
524,33
525,33
526,33
527,33
528,33
529,33
530,33
531,33
532,33
533,33
534,33
535,33
536,38
537,37
538,36
539,34
540,34
541,34
542,35
543,35
544,34
545,34
546,34
547,34
548,34
549,34
550,35
551,36
552,36
553,36
554,35
555,34
556,34
557,34
558,35
559,35
560,36
561,36
562,35
563,35
564,35
565,35
566,35
567,36
568,35
569,35
570,34
571,34
572,34
573,35
574,36
575,36
576,36
577,36
578,34
579,34
580,34
581,35
582,36
583,36
584,36
585,36
586,36
587,35
588,35
589,35
590,36
591,35
592,35
593,35
594,35
595,35
596,35
597,35
598,35
599,35
600,35
601,35
602,35
603,35
604,35
605,35
606,35
607,35
608,35
609,35
610,35
611,35
612,35
613,36
614,36
615,36
616,36
617,36
618,36
619,36
620,36
621,36
622,36
623,36
624,36
625,36
626,36
627,36
628,36
629,35
630,35
631,35
632,35
633,35
634,35
635,35
636,35
637,35
638,35
639,35
640,35
641,35
642,35
643,35
644,35
645,35
646,35
647,35
648,35
649,34
650,34
651,34
652,34
653,34
654,34
655,34
656,34
657,34
658,34
659,34
660,34
661,34
662,34
663,34
664,34
665,34
666,34
667,34
668,34
669,34
670,34
671,33
672,33
673,33
674,33
675,33
676,33
677,33
678,33
679,33
680,33
681,33
682,33
683,33
684,33
685,33
686,33
687,33
688,33
689,33
690,33
691,33
692,33
693,33
694,33
695,32
696,32
697,32
698,32
699,32
700,32
701,32
702,32
703,32
704,31
705,31
706,31
707,31
708,31
709,31
710,31
711,31
712,31
713,31
714,31
715,31
716,31
717,31
718,31
719,31
720,30
721,30
722,30
723,30
724,30
725,30
726,30
727,30
728,30
729,30
730,30
731,30
732,30
733,30
734,30
735,29
736,29
737,29
738,29
739,29
740,29
741,29
742,29
743,28
744,28
745,28
746,28
747,28
748,28
749,28
750,28
751,28
752,28
753,28
754,28
755,28
756,28
757,28
758,28
759,28
760,28
761,28
762,28
763,28
764,28
765,28
766,28
767,28
768,28
769,28
770,28
771,28
772,28
773,28
774,28
775,28
776,28
777,28
778,28
779,28
780,28
781,28
782,28
783,28
784,28
785,28
786,28
787,28
788,28
789,28
790,28
791,28
792,28
793,28
794,28
795,28
796,28
797,29
798,30
799,30
800,30
801,30
802,30
803,30
804,30
805,30
806,30
807,31
808,31
809,31
810,31
811,31
812,31
813,31
814,32
815,32
816,32
817,32
818,32
819,32
820,32
821,33
822,33
823,33
824,33
825,34
826,34
827,34
828,32
829,32
830,32
831,32
832,32
833,32
834,32
835,32
836,32
837,32
838,32
839,32
840,32
841,32
842,32
843,32
844,32
845,32
846,32
847,32
848,32
849,32
850,32
851,32
852,32
853,32
854,32
855,33
856,33
857,33
858,33
859,33
860,33
861,33
862,34
863,34
864,35
865,35
866,35
867,35
868,35
869,35
870,35
871,35
872,35
873,35
874,35
875,35
876,35
877,35
878,35
879,36
880,36
881,36
882,36
883,36
884,36
885,35
886,35
887,35
888,35
889,35
890,35
891,35
892,35
893,35
894,35
895,35
896,35
897,35
898,35
899,35
900,35
901,36
902,36
903,36
904,37
905,37
906,37
907,37
908,37
909,36
910,36
911,38
912,38
913,38
914,38
915,38
916,37
917,36
918,36
919,36
920,36
921,35
922,35
923,35
924,35
925,35
926,35
927,35
928,35
929,35
930,35
931,35
932,35
933,35
934,35
935,35
936,33
937,33
938,33
939,33
940,33
941,33
942,33
943,33
944,33
945,33
946,33
947,33
948,33
949,32
950,32
951,32
952,32
953,32
954,32
955,32
956,32
957,32
958,32
959,32
960,32
961,32
962,32
963,32
964,32
965,32
966,32
967,32
968,32
969,32
970,32
971,32
972,32
973,32
974,31
975,31
976,31
977,31
978,31
979,31
980,31
981,32
982,32
983,31
984,31
985,31
986,31
987,31
988,31
989,31
990,31
991,31
992,31
993,31
994,31
995,31
996,31
997,31
998,31
999,31
1000,31
1001,31
1002,31
1003,31
1004,31
1005,31
1006,31
1007,31
1008,31
1009,31
1010,31
1011,31
1012,31
1013,31
1014,31
1015,31
1016,31
1017,31
1018,31
1019,31
1020,31
1021,33
1022,33
1023,33
1024,33
1025,33
1026,33
1027,33
1028,33
1029,33
1030,33
1031,33
1032,33
1033,33
1034,32
1035,32
1036,32
1037,32
1038,32
1039,32
1040,32
1041,32
1042,32
1043,32
1044,32
1045,32
1046,32
1047,32
1048,32
1049,32
1050,32
1051,32
1052,32
1053,32
1054,32
1055,32
1056,32
1057,32
1058,32
1059,32
1060,33
1061,34
1062,34
1063,34
1064,34
1065,34
1066,34
1067,34
1068,34
1069,34
1070,34
1071,34
1072,34
1073,34
1074,34
1075,34
1076,34
1077,34
1078,34
1079,34
1080,34
1081,34
1082,34
1083,34
1084,34
1085,34
1086,34
1087,33
1088,32
1089,32
1090,32
1091,32
1092,32
1093,32
1094,32
1095,32
1096,32
1097,32
1098,32
1099,32
1100,32
1101,32
1102,32
1103,32
1104,32
1105,32
1106,32
1107,32
1108,32
1109,32
1110,32
1111,31
1112,31
1113,31
1114,31
1115,31
1116,31
1117,31
1118,31
1119,31
1120,31
1121,30
1122,30
1123,29
1124,29
1125,29
1126,29
1127,29
1128,29
1129,29
1130,29
1131,29
1132,29
1133,29
1134,29
1135,29
1136,29
1137,29
1138,29
1139,29
1140,29
1141,29
1142,29
1143,29
1144,29
1145,29
1146,28
1147,28
1148,28
1149,28
1150,27
1151,27
1152,27
1153,27
1154,27
1155,27
1156,27
1157,27
1158,26
1159,26
1160,26
1161,26
1162,26
1163,26
1164,26
1165,26
1166,26
1167,27
1168,28
1169,28
1170,29
1171,30
1172,30
1173,30
1174,29
1175,28
1176,28
1177,27
1178,27
1179,28
1180,29
1181,30
1182,30
1183,30
1184,30
1185,30
1186,30
1187,30
1188,29
1189,29
1190,29
1191,29
1192,29
1193,29
1194,29
1195,30
1196,30
1197,30
1198,29
1199,29
1200,29
1201,29
1202,29
1203,30
1204,30
1205,31
1206,31
1207,31
1208,31
1209,31
1210,31
1211,30
1212,30
1213,30
1214,30
1215,31
1216,32
1217,32
1218,32
1219,32
1220,31
1221,31
1222,31
1223,31
1224,31
1225,31
1226,31
1227,29
1228,29
1229,29
1230,28
1231,27
1232,27
1233,27
1234,27
1235,30
1236,32
1237,33
1238,34
1239,34
1240,34
1241,32
1242,31
1243,31
1244,30
1245,30
1246,29
1247,29
1248,29
1249,29
1250,29
1251,29
1252,29
1253,29
1254,29
1255,30
1256,30
1257,30
1258,30
1259,30
1260,32
1261,32
1262,32
1263,32
1264,32
1265,32
1266,32
1267,32
1268,32
1269,32
1270,32
1271,32
1272,32
1273,32
1274,32
1275,32
1276,32
1277,32
1278,33
1279,33
1280,33
1281,33
1282,33
1283,35
1284,35
1285,37
1286,37
1287,38
1288,37
1289,36
1290,36
1291,34
1292,34
1293,34
1294,34
1295,34
1296,35
1297,35
1298,35
1299,35
1300,36
1301,37
1302,36
1303,35
1304,34
1305,34
1306,34
1307,34
1308,33
1309,33
1310,33
1311,33
1312,33
1313,33
1314,32
1315,32
1316,32
1317,32
1318,32
1319,32
1320,32
1321,32
1322,32
1323,32
1324,33
1325,33
1326,33
1327,33
1328,33
1329,33
1330,33
1331,33
1332,33
1333,34
1334,34
1335,34
1336,34
1337,34
1338,34
1339,34
1340,33
1341,33
1342,33
1343,33
1344,33
1345,33
1346,33
1347,33
1348,33
1349,33
1350,33
1351,33
1352,33
1353,33
1354,33
1355,33
1356,32
1357,32
1358,32
1359,32
1360,32
1361,32
1362,32
1363,32
1364,31
1365,31
1366,31
1367,31
1368,31
1369,31
1370,31
1371,31
1372,32
1373,32
1374,33
1375,33
1376,34
1377,34
1378,34
1379,34
1380,35
1381,35
1382,35
1383,36
1384,36
1385,36
1386,36
1387,37
1388,37
1389,37
1390,37
1391,37
1392,36
1393,35
1394,34
1395,32
1396,31
1397,30
1398,30
1399,30
1400,30
1401,30
1402,30
1403,30
1404,30
1405,30
1406,31
1407,32
1408,33
1409,33
1410,33
1411,34
1412,34
1413,35
1414,35
1415,35
1416,36
1417,36
1418,36
1419,37
1420,36
1421,32
1422,32
1423,32
1424,32
1425,32
1426,32
1427,32
1428,32
1429,32
1430,32
1431,32
1432,32
1433,32
1434,32
1435,32
1436,32
1437,32
1438,30
1439,29
1440,30
1441,30
1442,30
1443,30
1444,30
1445,30
1446,31
1447,33
1448,33
1449,33
1450,33
1451,33
1452,34
1453,35
1454,35
1455,35
1456,35
1457,35
1458,35
1459,35
1460,35
1461,35
1462,35
1463,35
1464,35
1465,35
1466,35
1467,35
1468,34
1469,33
1470,33
1471,32
1472,32
1473,32
1474,32
1475,31
1476,30
1477,30
1478,31
1479,31
1480,31
1481,31
1482,31
1483,29
1484,29
1485,29
1486,29
1487,29
1488,28
1489,28
1490,28
1491,28
1492,27
1493,27
1494,27
1495,27
1496,27
1497,27
1498,27
1499,27
1500,27
1501,27
1502,27
1503,27
1504,27
1505,27
1506,27
1507,27
1508,27
1509,28
1510,28
1511,28
1512,28
1513,28
1514,28
1515,28
1516,28
1517,28
1518,28
1519,28
1520,28
1521,28
1522,28
1523,28
1524,28
1525,28
1526,28
1527,29
1528,29
1529,29
1530,29
1531,29
1532,31
1533,32
1534,32
1535,32
1536,32
1537,31
1538,31
1539,31
1540,33
1541,34
1542,35
1543,35
1544,35
1545,35
1546,35
1547,35
1548,32
1549,32
1550,31
1551,31
1552,31
1553,31
1554,31
1555,31
1556,31
1557,31
1558,33
1559,34
1560,34
1561,34
1562,34
1563,35
1564,36
1565,36
1566,37
1567,37
1568,36
1569,36
1570,36
1571,37
1572,36
1573,35
1574,34
1575,33
1576,33
1577,33
1578,33
1579,33
1580,35
1581,37
1582,37
1583,37
1584,36
1585,36
1586,36
1587,35
1588,34
1589,34
1590,34
1591,35
1592,36
1593,36
1594,36
1595,36
1596,36
1597,36
1598,35
1599,35
1600,35
1601,35
1602,35
1603,34
